comp_name,smiles,charge,multiplicity
azo_83586c1a71,CC(C)c1cc(C(N)=O)ccc1/N=N/c1ccc2cc(-c3ccccc3)ccc2c1,0,1
azo_9c93367623,NCc1ccc2cc(/N=N/c3ccc(C(F)(F)F)cc3F)ccc2c1,0,1
azo_a7435d52c5,CC(C)(C)c1cc(N)ccc1/N=N/c1ccc(C=O)cc1Cl,0,1
azo_3eadc2a629,NC(=O)c1ccc(/N=N/c2ccc(N)cc2C(F)(F)F)c(C(F)(F)F)c1,0,1
azo_d6a2582805,COc1ccc2c(Cl)c(/N=N/c3ccc(F)cc3)c(Cl)cc2c1,0,1
azo_5907740593,Cc1ccc(/N=N/c2c(Br)cc(C(F)(F)F)cc2I)cc1,0,1
azo_b4af1f7477,Clc1ccc(/N=N/c2cc3ccccc3cc2I)c(Br)c1,0,1
azo_2bdd249be7,Cc1ccc2cc(/N=N/c3ccc(C=O)cc3Cl)c(C(C)(C)C)cc2c1,0,1
azo_0cf1b9857e,Cc1ccc2cc(/N=N/c3c(I)cc(C(N)=O)cc3C(F)(F)F)ccc2c1,0,1
azo_546078b85d,COc1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,0,1
azo_160bbc3f41,CC(C)(C)c1cc(Cl)cc(I)c1/N=N/c1ccc2cc(CN)ccc2c1,0,1
azo_bc96340576,CC(C)(C)c1c(/N=N/c2ccc(C=O)cc2Br)ccc2ccccc12,0,1
azo_032caee600,CC(C)c1c(/N=N/c2ccc(C(=O)O)cc2)c(Br)cc2ccccc12,0,1
azo_d0f32ae5ee,Cc1ccc2cc(/N=N/c3ccc(I)cc3)c(C(C)C)cc2c1,0,1
azo_eeee1e980d,NCc1ccc2c(I)c(/N=N/c3ccc(F)cc3)c(Br)cc2c1,0,1
azo_d1665143aa,ClC1=CCc2cc(Br)c(/N=N/c3ccccc3)c(Cl)c21,0,1
azo_b3024c24dd,CC(C)(C)c1cc2cc(CN)ccc2cc1/N=N/c1ccc(C(N)=O)cc1Br,0,1
azo_d41c0e8c1f,N#Cc1cc(C#N)cc(/N=N/c2ccc3c(-c4ccccc4)ccc(O)c3c2)c1,0,1
azo_e2bd3566e6,Fc1cc(Cl)c(/N=N/c2ccc(-c3ccccc3)cc2)c(C(F)(F)F)c1,0,1
azo_a967e30f71,O=S(=O)(O)c1cc2c(c(Cl)c1/N=N/c1ccccc1)C(Cl)=CC2,0,1
azo_58a8752457,O=S(=O)(O)c1cc2occc2c(Cl)c1/N=N/c1ccccc1,0,1
azo_a23f40c5cd,NCc1ccc(/N=N/c2c(Cl)cc(C(=O)O)cc2Br)cc1,0,1
azo_5145f23fef,O=S(=O)(O)c1cc(I)ccc1/N=N/c1ccc2occc2c1,0,1
azo_335830d5f8,Clc1cc2cc(/N=N/c3ccccc3)c(Cl)cc2s1,0,1
azo_95e633577b,Ic1cc(I)cc(/N=N/c2ccc3ccccc3c2)c1,0,1
azo_f53d734c5d,Nc1ccc(-c2ccccc2)c2ccc(/N=N/c3cc(Cl)cc(S(=O)(=O)O)c3)cc12,0,1
azo_04fcebb75c,COc1ccc2c(Cl)c(/N=N/c3ccc(C=O)cc3Br)ccc2c1,0,1
azo_28a4297be8,CC(C)(C)c1cc2cc(CN)ccc2c(C(C)(C)C)c1/N=N/c1ccc(C(N)=O)cc1,0,1
azo_e04e922600,COc1cccc(-c2ccccc2)c1N=Nc1ccoc1,0,1
azo_0a6433ae9a,O=CC1=C(C(F)(F)F)Cc2cc(S(=O)(=O)O)c(/N=N/c3ccccc3)cc21,0,1
azo_cc080c9f7a,NC(=O)c1ccc(/N=N/c2ccc3cc(O)ccc3c2)c(Cl)c1,0,1
azo_4e99533a36,O=Cc1c(/N=N/c2ccccc2)ccc2sc(I)c(C=O)c12,0,1
azo_90d633e2a1,N#Cc1cc(/N=N/c2ccc3cc(CN)ccc3c2)cc(C(=O)O)c1,0,1
azo_5056deeafd,CC(C)(C)c1c(/N=N/c2ccc(S(=O)(=O)O)cc2I)ccc2ccccc12,0,1
azo_733856af1b,NC(=O)c1cccc(S(=O)(=O)O)c1/N=N/c1ccc2[nH]ccc2c1,0,1
azo_9329494814,N#Cc1cc2c(C#N)c(/N=N/c3ccccc3)c(S(=O)(=O)O)cc2[nH]1,0,1
